sample_idx,predicted_class,original_prediction,baseline_prediction,r2_mean,method,deletion_auc,insertion_auc,gap_auc,n_positive_segments
0,0,0.0083332080394029,0.0084176491945981,-0.0185232641596502,Relevancia a secas,0.0083619622875832,0.0084563810895714,9.441880198816228e-05,
0,0,0.0083332080394029,0.0084176491945981,-0.0185232641596502,Relevancia absoluta,0.0083619622875832,0.0084563810895714,9.441880198816228e-05,
0,0,0.0083332080394029,0.0084176491945981,-0.0185232641596502,Solo secciones positivas,,,,0.0
1,1,0.9999997615814208,0.0084176491945981,-1.965258877599264,Relevancia a secas,0.5252233594498587,0.9573718007254812,0.4321484412756227,
1,1,0.9999997615814208,0.0084176491945981,-1.965258877599264,Relevancia absoluta,0.7778662552851399,0.9858288833073208,0.2079626280221808,
1,1,0.9999997615814208,0.0084176491945981,-1.965258877599264,Solo secciones positivas,0.3139597804990905,0.9214745140634476,0.6075147335643571,19.0
2,0,0.0080961529165506,0.0084176491945981,0.0676789312836006,Relevancia a secas,0.0081901850644499,0.0084189642220735,0.0002287791576236,
2,0,0.0080961529165506,0.0084176491945981,0.0676789312836006,Relevancia absoluta,0.0081882307616372,0.0084214473608881,0.0002332165992508,
2,0,0.0080961529165506,0.0084176491945981,0.0676789312836006,Solo secciones positivas,0.0083116926252841,0.0082411151379346,-7.057748734951019e-05,1.0
3,1,0.9953581690788268,0.0084176491945981,-1.1159441205753418,Relevancia a secas,0.4053384192868689,0.9650067057874469,0.5596682865005778,
3,1,0.9953581690788268,0.0084176491945981,-1.1159441205753418,Relevancia absoluta,0.7931839018128812,0.8935373696560652,0.100353467843184,
3,1,0.9953581690788268,0.0084176491945981,-1.1159441205753418,Solo secciones positivas,0.0276769167129017,0.9720772604147594,0.9444003437018575,18.0
4,0,0.0179618280380964,0.0084176491945981,-1.1370864102084255,Relevancia a secas,0.5324908460283445,0.0200941241993051,-0.5123967218290394,
4,0,0.0179618280380964,0.0084176491945981,-1.1370864102084255,Relevancia absoluta,0.0166558881820593,0.0264429497118625,0.0097870615298031,
4,0,0.0179618280380964,0.0084176491945981,-1.1370864102084255,Solo secciones positivas,0.917167700434986,0.0150972867237502,-0.9020704137112356,19.0
5,0,0.0231906473636627,0.0084176491945981,-0.8997262899835249,Relevancia a secas,0.6452137715079718,0.0795783080488475,-0.5656354634591242,
5,0,0.0231906473636627,0.0084176491945981,-0.8997262899835249,Relevancia absoluta,0.4885406725160363,0.2443447223761015,-0.2441959501399347,
5,0,0.0231906473636627,0.0084176491945981,-0.8997262899835249,Solo secciones positivas,0.9577370802561442,0.0621497038190236,-0.8955873764371206,15.0
6,1,0.9994326233863832,0.0084176491945981,-0.7724504587896366,Relevancia a secas,0.419633155425989,0.9500847900182836,0.5304516345922946,
6,1,0.9994326233863832,0.0084176491945981,-0.7724504587896366,Relevancia absoluta,0.7537898137751554,0.9500563172106112,0.1962665034354558,
6,1,0.9994326233863832,0.0084176491945981,-0.7724504587896366,Solo secciones positivas,0.2825400967747992,0.9219481184592714,0.6394080216844722,23.0
7,0,0.0082261366769671,0.0084176491945981,0.0192123241094376,Relevancia a secas,0.0083756514359265,0.0083626436793969,-1.3007756529580944e-05,
7,0,0.0082261366769671,0.0084176491945981,0.0192123241094376,Relevancia absoluta,0.0083798588150077,0.0083624289578033,-1.7429857204357205e-05,
7,0,0.0082261366769671,0.0084176491945981,0.0192123241094376,Solo secciones positivas,0.008573065046221,0.0080996267497539,-0.000473438296467,2.0
8,0,0.0268179848790168,0.0084176491945981,-0.5024927294964471,Relevancia a secas,0.6747583531412401,0.157770287218025,-0.5169880659232151,
