sample_idx,original_prediction,baseline_prediction,predicted_class,r2_mean,r2_std,deletion_auc_abs,insertion_auc_abs,gap_auc_abs,deletion_auc_positive_first,insertion_auc_positive_first,gap_auc_positive_first,n_segments,n_positive_segments,error
103,1.0,0.0084176491945981,1,-0.8163874166329501,0.2943793981034444,0.0975499221698759,0.5166660057536017,0.4191160835837257,0.0157072466573511,0.418356584592168,0.4026493379348169,36,18,
104,0.008737901225686,0.0084176491945981,0,-15.461482267918637,33.156274561113314,0.0083112878750802,0.0105089747295197,0.0021976868544394,0.135271655395627,0.0092904934168068,-0.1259811619788201,36,19,
105,0.9827587008476256,0.0084176491945981,1,-1.0286561938791692,0.6529222301676435,0.5829853583385961,0.9116396223091418,0.3286542639705456,0.4313793142959564,0.9146239068359138,0.4832445925399574,36,16,
106,0.0082356883212924,0.0084176491945981,0,0.0709961534104168,0.122828605919499,0.0087573547174947,0.0080025012785982,-0.0007548534388964,0.0087951852991763,0.0079916732178794,-0.0008035120812969,36,1,
107,0.0086244065314531,0.0084176491945981,0,0.1131064946478565,0.2600967376705753,0.0090192822584261,0.0087825909205194,-0.0002366913379066,0.0096187219541105,0.0083054048009216,-0.0013133171531889,36,8,
108,0.008908238261938,0.0084176491945981,0,-3.235954760410477,4.765230012652815,0.0559523440121362,0.0301306106977992,-0.025821733314337,0.3384209129338463,0.0252700701562894,-0.3131508427775569,36,18,
109,0.9997318387031556,0.0084176491945981,1,-0.5356707743135222,0.9549004599470424,0.797633312849535,0.9501919547716776,0.1525586419221426,0.3519680378738518,0.969662313659986,0.6176942757861341,36,19,
110,0.0082523673772811,0.0084176491945981,0,0.5564237511008262,0.07866298827392,0.0086181091351641,0.0083945199278079,-0.0002235892073561,0.0100524624447441,0.007570169141723,-0.0024822933030211,36,10,
111,1.0,0.0084176491945981,1,-0.9683136016730856,0.8112789190376115,0.816049481405773,0.9862262374824948,0.1701767560767217,0.2035653483277806,0.874146743292335,0.6705813949645543,36,20,
112,0.0369049310684204,0.0084176491945981,0,-0.5548823502006206,0.2565008279627356,0.2257120855566528,0.2409128468756939,0.0152007613190411,0.5841969474632707,0.0816721428046219,-0.5025248046586488,36,19,
113,0.991636037826538,0.0084176491945981,1,-0.0480437729879697,0.1679932487120674,0.2457820236838112,0.5786735511792358,0.3328915274954245,0.0161459356850672,0.8540596169316107,0.8379136812465434,36,19,
114,0.9999282360076904,0.0084176491945981,1,-0.1200178431313023,0.2234596833018146,0.2957260385756828,0.3845984471746707,0.0888724085989879,0.0146562631320142,0.77680583536211,0.7621495722300957,36,16,
115,0.9897438883781432,0.0084176491945981,1,-1.1133327551836858,0.7069868093895065,0.90096653427463,0.8599436714624364,-0.0410228628121936,0.3589196697525488,0.92902668306811,0.5701070133155611,36,20,
116,0.0118242017924785,0.0084176491945981,0,-1.0840637453071562,0.3680969742610473,0.3808070281261784,0.5630555303974284,0.1822485022712499,0.8272366230893466,0.3416483863289652,-0.4855882367603814,36,13,
117,0.0082244910299777,0.0084176491945981,0,-0.0246479031032668,0.0329251141808748,0.0083459204114559,0.0084358017839905,8.988137253456742e-05,0.0083459204114559,0.0084358017839905,8.988137253456742e-05,36,0,
118,0.9903485774993896,0.0084176491945981,1,-1.6111583751742038,1.945414647197348,0.6018977380202463,0.8949877079058853,0.293089969885639,0.1639761088315876,0.9555727005418804,0.7915965917102928,36,20,
119,1.0,0.0084176491945981,1,-0.9250580587782932,0.4634449696224597,0.1916442750844486,0.9409859437081548,0.7493416686237062,0.2179627223653617,0.976992316544056,0.7590295941786942,36,22,
120,0.0083706872537732,0.0084176491945981,0,-0.1074770796747317,0.2515898263142621,0.0084520118044955,0.0090269995055028,0.0005749877010072,0.0084520118044955,0.0090269995055028,0.0005749877010072,35,0,
121,0.0084054628387093,0.0084176491945981,0,-0.4110163650270424,0.5821449893174052,0.0173057573588771,0.0128509450393418,-0.0044548123195353,0.3596703550105707,0.0178380969704853,-0.3418322580400854,36,17,
122,0.008433248847723,0.0084176491945981,0,0.1485884188213199,0.1217528561477797,0.0084301222167495,0.0089754230963687,0.0005453008796191,0.009635308291763,0.0080542865778423,-0.0015810217139207,36,9,
123,0.9999998807907104,0.0084176491945981,1,-0.2755042040626622,0.1808166734035242,0.4022534073830373,0.8771520516589935,0.4748986442759562,0.2290191770984327,0.9029339541696874,0.6739147770712547,36,18,
124,0.0083618136122822,0.0084176491945981,0,-0.5709362285114157,0.8688179087955826,0.0109850464181767,0.0104428846130354,-0.0005421618051413,0.0117098851284633,0.0084636061090148,-0.0032462790194484,36,18,
125,0.9999994039535522,0.0084176491945981,1,-0.9850304873505392,0.9934454617797032,0.2333657512629975,0.9602442449993558,0.7268784937363583,0.2836967527704488,0.93592442986038,0.6522276770899311,36,19,
126,0.0081556737422943,0.0084176491945981,0,-0.059738521971632,0.0620594425960166,0.0079901788383722,0.0086226659161703,0.0006324870777981,0.0079901788383722,0.0086226659161703,0.0006324870777981,35,0,
127,0.0080702621489763,0.0084176491945981,0,-1.0858095027660697,0.4057639673267155,0.4927580568732486,0.4397692766247524,-0.0529887802484962,0.6046646752446477,0.0525141831076957,-0.552150492136952,36,21,
128,0.9999991655349731,0.0084176491945981,1,-0.6659174124131715,0.3921482593745158,0.8420183365621293,0.986185270879004,0.1441669343168745,0.3183575798757687,0.9862279742956164,0.6678703944198475,36,20,
129,0.99997079372406,0.0084176491945981,1,-0.5041281135231477,0.7136650237296369,0.6750648643485166,0.8839400769470052,0.2088752125984885,0.3476285109284429,0.9584215211733764,0.6107930102449334,36,18,
130,0.008040246553719,0.0084176491945981,0,0.0775551081705689,0.0531514791066962,0.0080026389099657,0.0085532738694122,0.0005506349594465,0.0081064310590071,0.0084570514570389,0.0003506203980318,35,2,
131,0.0107393097132444,0.0084176491945981,0,-1.4909072557806695,1.2302653097601337,0.0625882243685838,0.0935559975655956,0.0309677731970118,0.4209530895782842,0.0058149575434652,-0.415138132034819,36,22,
132,0.1413475275039672,0.0084176491945981,0,-0.5215959058218502,0.2370796490711313,0.6231956082906436,0.9644153283702004,0.3412197200795567,0.6873342230812542,0.1287538070349809,-0.5585804160462733,36,21,
133,0.9986573457717896,0.0084176491945981,1,-0.6365017492005018,0.3367304362392516,0.6123807501016927,0.8911559929503002,0.2787752428486075,0.6847316390532493,0.9808432095580631,0.2961115705048138,36,23,
134,0.1443105489015579,0.0084176491945981,0,-11.183201637052935,22.0242169893083,0.7244324586612897,0.475581944264579,-0.2488505143967106,0.7949504646886555,0.618104057069224,-0.1768464076194315,36,19,
